Product_id,Product_Name,Product_desc,Product_ratings,List_price,Sale_price,Brand_Name,Paperback,Language,Product_Dimensions,Shipping_Weight,File_Size,Imageurl_1
143025758X,Troubleshooting Oracle Performance 2nd ed. Edition,"Troubleshooting Oracle Performance, 2nd Edition is your systematic guide to diagnosing and resolving performance problems in database-backed applications involving Oracle's database engine. Christian Antognini brings a decade and a half experience to his topic. His first edition is one of the most well-respected books in its field. This second edition has been rigorously updated to cover the latest developments in Oracle Database 11g Release 2 through Oracle Database 12c. What do you do when your database application isn’t running fast enough? You troubleshoot, of course. Finding the slow part of an application is often the easy part of the battle. It’s finding a solution that’s difficult. Troubleshooting Oracle Performance, 2nd Edition helps by providing a systematic approach to addressing the underlying causes of poor database application performance. The author freely shares his experience while explaining the underlying foundations of how SQL statements are executed by the Oracle database engine. You'll be able to draw a solid foundation of theory and shared experience as you face head-on the performance challenges in your daily work.",5.0 out of 5 stars,59.99$,43.37$,Christian Antognini,740,English,7.5 x 1.7 x 9.2 inches,3.4 pounds,7825 KB,http://res.cloudinary.com/maravind/image/upload/v1491187307/143025758X_rfqyff.jpg
B00LPDV9T2,Expert Oracle Database Architecture 3rd ed. Edition,"Now in its third edition, this best-selling book continues to bring you some of the best thinking on how to apply Oracle Database to produce scalable applications that perform well and deliver correct results. Tom Kyte and Darl Kuhn share a simple philosophy: ""you can treat Oracle as a black box and just stick data into it, or you can understand how it works and exploit it as a powerful computing environment."" If you choose the latter, then you’ll find that there are few information management problems that you cannot solve quickly and elegantly. This fully revised third edition covers the developments up to Oracle Database 12c. Significant new content is included surrounding Oracle's new cloud feature set, and especially the use of pluggable databases. Each feature is taught in a proof-by-example manner, not only discussing what it is, but also how it works, how to implement software using it, and the common pitfalls associated with it. Don’t treat Oracle Database as a black-box. Get this book. Get under the hood. Turbo-charge your career.    Revised to cover Oracle Database 12c    Proof-by-example approach: Let the evidence be your guide    Dives deeply into Oracle Database’s most powerful features What you’ll learn    Develop an evidence-based approach to problem solving    Manage transactions in highly concurrent environments    Speed access to data through table and index design    Manage files and memory structures for performance and reliability    Scale up through partitioning and parallel processing    Load and unload data to interface with external systems Who this book is for Expert Oracle Database Architecture is aimed at Oracle Database administrators, at PL/SQL and Java developers writing code to be deployed inside the database, and at developers of external applications who use Oracle Database as a data store. It is the go-to book for those wishing to create efficient and scalable applications. ",4.0 out of 5 stars,59.99$,43.39$,Thomas Kyte,824,English,7.5 x 1.9 x 9.2 inches,3.4 pounds,5590 KB,http://res.cloudinary.com/maravind/image/upload/v1491188957/B00LPDV9T2_ppnkow.jpg
B00OLET4FI,Oracle Database Transactions and Locking Revealed,"Oracle Database Transactions and Locking Revealed provides much-needed information for building scalable, high-concurrency applications and deploy them against the Oracle Database. Read this short, 150-page book that is adapted from Expert Oracle Database Architecture to gain a solid and accurate understanding of how locking and concurrency are dealt with by Oracle Database. Also learn how the Oracle Database architecture accommodates user transactions, and how you can write code to mesh with how Oracle Database is designed to operate. Good transaction design is an important facet of highly-concurrent applications that are run by hundreds, even thousands of users who are all executing transactions at the same time. Transaction design in turn relies upon a good understanding of how the underlying database platform manages of the locking of resources so as to prevent access conflicts and data loss that might otherwise result from concurrent access to data in the database.Oracle Database Transactions and Locking Revealed covers in detail the various lock types, and also different locking schemes such as pessimistic and optimistic locking. Then you’ll learn about transaction isolation and multiversion concurrency, and how the various lock types support Oracle Database’s transactional features. You’ll learn some good tips for transaction design, as well as some bad practices and habits to avoid. Coverage is also given to redo and undo, and their role in concurrency. This is an important book that anyone developing highly-concurrent applications will want to have handy on their shelf.",5.0 out of 5 stars,29.99$,23.42$,Thomas Kyte,188,English,7.5 x 0.4 x 9.2 inches,15 ounces,1310 KB,http://res.cloudinary.com/maravind/image/upload/v1491189802/B00OLET4FI_e3dk98.jpg
B01A6SY2LI,Oracle SQL Performance Tuning and Optimization: Its all about the Cardinalities,"Written by a Senior Database Administrator who has worked with the Oracle RDBMS for thirty years, this is a book which teaches the skill of SQL Tuning for the Oracle Database. Not a list of one-off tricks or tips, nor a glossing over of topics; this book offers an in-depth process covering discovery, analysis, and problem resolution. Learn the science behind SQL Tuning. Learn and apply the FILTERED ROWS PERCENTAGE Cardinality based method of tuning. Determine a query's Driving Table and Join Order. Construct Query Diagrams, Data Models, and Join Trees. Build and use Count / Filter / and Reconstruction Queries. Identify Waste in a Query Execution Plan. Zero in on Cardinality Divergence using Estimated vs. Actuals. Use the ACCESS / FILTER / COVERAGE strategy to build indexes for Problem Queries. Exploit THE 2% RULE in analyzing Access method and Join method. Classify queries as Precision Style or Warehouse Style. Understand Hash Join mechanics and make Hash Joins go faster. Make HINTS work as Detection Tools rather than clubs. Avoid early Database Design flaws. Manage Statistics and deal with common Statistics problems (NDV, Uniform Distribution, Independence, Dynamic Sampling). (Staleness, Skew, Dependence, Defaulting, Out-Of-Bounds, Transiency, Bloat). Perfect your Question Based Analysis Technique and more",4.5 out of 5 stars,53.49$,38.27$,Kevin Meade,586,English,7.5 x 1.3 x 9.2 inches,2.6 pounds,2340 KB,http://res.cloudinary.com/maravind/image/upload/v1491322573/B01A6SY2LI_tm5zmm.jpg
1118729277,"Data Mining for Business Analytics: Concepts, Techniques, and Applications with XLMiner","Data Mining for Business Analytics: Concepts, Techniques, and Applications in XLMiner®, Third Edition presents an applied approach to data mining and predictive analytics with clear exposition, hands-on exercises, and real-life case studies. Readers will work with all of the standard data mining methods using the Microsoft® Office Excel® add-in XLMiner® to develop predictive models and learn how to obtain business value from Big Data. Featuring updated topical coverage on text mining, social network analysis, collaborative filtering, ensemble methods, uplift modeling and more, the Third Edition also includes: Real-world examples to build a theoretical and practical understanding of key data mining methods. End-of-chapter exercises that help readers better understand the presented material. Data-rich case studies to illustrate various applications of data mining techniques. Completely new chapters on social network analysis and text mining. A companion site with additional data sets, instructors material that include solutions to exercises and case studies, and Microsoft PowerPoint® slides. Data Mining for Business Analytics: Concepts, Techniques, and Applications in XLMiner®, Third Edition is an ideal textbook for upper-undergraduate and graduate-level courses as well as professional programs on data mining, predictive modeling, and Big Data analytics. The new edition is also a unique reference for analysts, researchers, and practitioners working with predictive analytics in the fields of business, finance, marketing, computer science, and information technology.",3.5 out of 5 stars,34.67$,18.56$,Galit Shmueli,552,English,7.1 x 1.2 x 9.9 inches,2.5 pounds,3245 KB,http://res.cloudinary.com/maravind/image/upload/v1491323075/1118729277_uzzfsg.jpg
470463635,Categorical Data Analysis,"Categorical Data Analysis, Third Edition summarizes the latest methods for univariate and correlated multivariate categorical responses. Readers will find a unified generalized linear models approach that connects logistic regression and Poisson and negative binomial loglinear models for discrete data with normal regression for continuous data.",3.9 out of 5 stars,102.91$,88.41$,ALAN AGRESTI,342,English,7.4 x 1.6 x 10.4 inches,3.4 pounds,4534 KB,http://res.cloudinary.com/maravind/image/upload/v1491323535/0470463635_wdwxrh.jpg
1785288148,Data Analysis with R,"Frequently the tool of choice for academics, R has spread deep into the private sector and can be found in the production pipelines at some of the most advanced and successful enterprises. The power and domain-specificity of R allows the user to express complex analytics easily, quickly, and succinctly. With over 7,000 user contributed packages, it's easy to find support for the latest and greatest algorithms and techniques.",3 out of 5 stars,53.88$,43.67$,Tony Fischetti,590,English,7.5 x 0.9 x 9.2 inches,4.7 pounds,5678 KB,http://res.cloudinary.com/maravind/image/upload/v1491323766/1785288148_u2l1qm.jpg
133592928,Marketing and Sales Analytics: Proven Techniques and Powerful Applications from Industry Leaders (FT Press Analytics),"To successfully apply marketing analytics, executives must orchestrate elements that transcend multiple perspectives and organizational silos. In Marketing and Sales Analytics, leading analytics consultant Cesar Brea shows you exactly how to do this. Brea examines the experiences of 15 leaders who’ve built high-value analytics capabilities in multiple industries. Then, building on what they’ve learned, he presents a complete blueprint for implementing and profiting from marketing analytics.",4 out of 5 stars,67.78$,48.99$,Cesar A. Brea,623,English,6.3 x 1.1 x 9 inches,2.8 pounds,4567 KB,http://res.cloudinary.com/maravind/image/upload/v1491324094/0133592928_wavaaf.jpg
321888030,R for Everyone: Advanced Analytics and Graphics (Addison-Wesley Data and Analytics) 1st Edition,"Using the open source R language, you can build powerful statistical models to answer many of your most challenging questions. R has traditionally been difficult for non-statisticians to learn, and most R books assume far too much knowledge to be of help. R for Everyone is the solution. Drawing on his unsurpassed experience teaching new users, professional data scientist Jared P. Lander has written the perfect tutorial for anyone new to statistical programming and modeling. Organized to make learning easy and intuitive, this guide focuses on the 20 percent of R functionality you’ll need to accomplish 80 percent of modern data tasks. Lander’s self-contained chapters start with the absolute basics, offering extensive hands-on practice and sample code. You’ll download and install R; navigate and use the R environment; master basic program control, data import, and manipulation; and walk through several essential tests. Then, building on this foundation, you’ll construct several complete models, both linear and nonlinear, and use some data mining techniques.",5 out of 5 stars,24.07$,13.34$,Jared P. Lander,508,English,6.9 x 0.9 x 9 inches,2.8 pounds,9876 KB,http://res.cloudinary.com/maravind/image/upload/v1491325972/0321888030_ieslfx.jpg
1617291382,R in Action: Data Analysis and Graphics with R,"R in Action, Second Edition presents both the R language and the examples that make it so useful for business developers. Focusing on practical solutions, the book offers a crash course in statistics and covers elegant methods for dealing with messy and incomplete data that are difficult to analyze using traditional methods. You'll also master R's extensive graphical capabilities for exploring and presenting data visually. And this expanded second edition includes new chapters on time series analysis, cluster analysis, and classification methodologies, including decision trees, random forests, and support vector machines.",3.6 out of 5 stars,35.99$,23.49$,Robert Kabacoff,1190,English,7.3 x 1.4 x 9.2 inches,2.8 pounds,2345 KB,http://res.cloudinary.com/maravind/image/upload/v1491326133/1617291382_llhiun.jpg
B00K2I2JL8,Data Analytics Made Accessible,"This book fills the need for a concise and conversational book on the growing field of Data Science. Easy to read and informative, this lucid book covers everything important, with concrete examples, and invites the reader to join this field. The chapters in the book are organized for a typical one-semester course. The book contains case-lets from real-world stories at the beginning of every chapter. There is also a running case study across the chapters as exercises. This book is designed to provide a student with the intuition behind this evolving area, along with a solid toolset of the major data mining techniques and platforms. Finally, it includes a tutorial for R platform. The book has proved very popular throughout the world. Many universities in the US, and around the world, have adopted it as a textbook for their courses. This 2017 edition has added four new chapters in response to the thoughts and suggestions expressed by many reviewers. Students across a variety of academic disciplines, including business, computer science, statistics, engineering, and others attracted to the idea of discovering new insights and ideas from data can use this as a textbook. Professionals in various domains, including executives, managers, analysts, professors, doctors, accountants, and others can use this book to learn in a few hours how to make sense of and develop actionable insights from the enormous data coming their way. This is a flowing book that one can finish in one sitting, or one can return to it again and again for insights and techniques.",3.7 out of 5 stars,134$,110$,Anil Maheshwari,1231,English,,2.9 pounds,5237 KB,http://res.cloudinary.com/maravind/image/upload/v1491326469/B00K2I2JL8_ytssy4.jpg
B06XGZ5182,"Advanced JAVA: For Beginners, Learn Coding Fast! Java Programming Language Crash Course, Java Reference Quick Start Tutorial Book with Hands-On Projects",“Advanced JAVA” shows how to create Graphical User Interface (GUI) by Java programs; Examples demonstrate how to layout each of the interface components which can be built a window application. This book includes some practical Hands-On Projects. You can study Advanced Java coding with Hands-On Projects.,3.8 out of 5 stars,120$,,Ray Yao ,956,English,,3.8 pounds,9034 KB,http://res.cloudinary.com/maravind/image/upload/v1491327364/B06XGZ5182_mepcfj.jpg
321349601,Java Concurrency in Practice,"Java Concurrency in Practice is an invaluable compilation of threading know-how for Java developers. I found reading this book intellectually exciting, in part because it is an excellent introduction to Java's concurrency API, but mostly because it captures in a thorough and accessible way expert knowledge on threading not easily found elsewhere.",3.9 out of 5 stars,56.67$,34$,Brian Teoz,885,English,6.9 x 1 x 9.1 inches,3.1 pounds,1234 KB,http://res.cloudinary.com/maravind/image/upload/v1491327480/0321349601_xbacr1.jpg
